,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,11.82,13.57,11.52,11.91,11.43,11.52,11.43,16.89,16.89,17.19,16.89,16.85,17.38,16.89,16.89,17.19,16.75,16.85,16.89,9.86,10.35,12.21,10.35,12.35,10.35,9.77,10.5
2,11.43,11.43,14.4,11.38,13.53,11.47,12.84,17.58,17.38,17.53,17.68,17.33,17.48,17.92,17.33,17.33,17.33,17.33,17.33,11.47,9.23,11.28,12.11,11.28,11.67,11.52,9.08
3,13.57,11.62,11.43,11.47,11.57,11.77,11.47,16.89,16.89,16.89,16.89,17.53,16.99,17.24,17.19,16.89,16.89,16.89,16.85,12.01,10.35,10.06,10.35,9.57,10.35,12.35,10.35
4,11.43,14.4,11.57,11.43,12.84,11.43,13.53,17.33,17.33,17.33,17.53,17.53,17.33,17.33,17.33,17.77,17.33,17.43,17.38,11.67,12.11,11.62,9.23,11.28,9.08,11.33,11.77
5,11.96,11.43,11.47,11.43,11.62,13.57,11.43,16.89,16.89,16.89,16.89,17.19,17.19,17.14,16.89,16.89,16.89,16.89,17.04,12.4,10.45,9.57,10.35,9.86,10.35,12.21,10.35
6,11.52,13.38,11.43,12.84,11.43,11.43,14.4,17.33,17.33,17.58,17.33,17.63,17.33,17.72,17.53,17.33,17.58,17.38,17.33,11.28,11.91,11.28,9.08,11.28,9.38,11.28,12.11
7,11.47,11.57,11.91,11.62,13.57,11.43,11.47,16.89,16.85,16.89,16.89,17.09,17.04,16.89,16.89,16.89,16.89,17.19,16.89,9.52,10.5,12.45,10.35,12.21,10.5,9.86,10.64
8,11.62,12.84,11.43,13.53,11.52,14.5,11.43,17.33,17.33,17.53,17.53,17.58,17.33,17.33,17.53,17.58,17.33,17.33,17.33,11.28,9.23,11.28,11.91,11.28,12.11,11.38,9.23
9,16.89,17.33,16.99,17.33,17.09,17.58,16.89,17.58,25.24,25.54,24.71,24.37,24.46,24.9,24.9,24.66,24.32,23.97,25.1,14.6,14.21,14.6,13.96,14.6,14.36,14.6,13.96
10,16.89,17.33,17.38,17.33,16.89,17.33,16.89,17.48,25.59,24.27,25.1,24.46,24.07,24.41,23.93,24.95,24.61,24.51,24.76,14.79,13.96,14.6,13.96,14.75,13.96,14.89,13.96
11,16.89,17.58,16.89,17.72,17.09,17.33,16.89,17.33,25.49,24.27,24.61,24.85,24.76,24.61,24.9,25.05,24.8,24.66,25.05,15.14,13.96,15.04,13.96,14.6,13.96,14.6,14.6
12,16.89,17.33,16.89,17.43,16.89,17.33,16.7,17.33,24.71,25.24,24.9,24.41,25.0,25.2,25.24,24.17,25.0,24.61,24.66,14.6,14.26,14.84,14.36,14.6,13.96,14.6,13.96
13,16.89,17.33,16.89,17.33,16.89,17.33,17.38,17.58,24.37,24.46,24.85,24.41,24.95,24.27,25.24,24.56,25.0,24.61,24.76,14.75,13.96,14.6,13.96,14.6,14.4,14.6,14.11
14,16.89,17.33,16.89,17.53,16.89,17.33,17.19,17.33,24.32,23.93,24.61,25.0,25.05,24.71,24.71,24.85,24.9,25.15,24.76,14.6,13.96,14.6,13.96,14.7,13.96,14.65,13.96
15,16.89,17.33,17.43,17.33,17.19,17.33,17.04,17.38,24.9,24.32,24.56,25.15,24.12,24.41,24.46,24.32,24.66,24.37,24.85,14.6,14.11,14.6,13.96,14.6,14.11,14.6,14.11
16,16.89,17.33,16.89,17.33,17.09,17.33,17.04,17.33,24.9,23.93,24.9,25.24,25.2,24.71,24.37,24.95,24.85,25.0,24.51,14.6,13.96,14.6,13.96,14.75,13.96,14.99,14.89
17,16.89,17.33,16.89,17.33,16.89,17.33,16.94,17.33,24.76,25.1,25.05,24.12,24.46,24.85,24.32,25.0,24.32,25.44,25.05,14.6,13.96,14.6,13.96,14.6,13.96,14.6,14.21
18,16.99,17.53,16.85,17.33,17.48,17.33,16.89,17.24,24.32,24.51,24.8,24.95,25.0,25.1,24.66,25.0,24.32,24.56,24.41,14.7,13.96,14.6,13.96,14.75,14.36,14.75,13.96
19,16.89,17.33,16.89,17.58,16.89,17.33,16.89,17.33,23.97,24.22,24.66,24.41,24.71,25.15,24.37,25.34,25.44,24.41,24.76,14.89,13.96,14.6,13.96,14.6,13.96,14.6,13.96
20,16.89,17.33,16.89,17.58,16.89,17.33,17.38,17.33,25.05,24.66,24.66,24.71,24.71,24.76,24.8,24.76,25.05,24.41,24.76,14.6,14.5,14.6,14.21,14.7,13.96,14.6,14.21
21,9.86,11.57,12.21,11.28,12.35,11.77,9.86,11.43,15.67,14.6,14.75,14.6,15.28,14.84,15.28,15.19,14.89,14.6,14.75,14.94,10.94,12.7,10.94,12.4,10.94,11.87,11.08
22,10.35,9.23,10.35,12.11,10.45,11.87,10.35,9.23,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,14.31,13.96,14.94,11.04,11.47,13.67,10.94,14.16,10.94,12.45
23,12.21,11.28,9.86,11.33,9.52,11.67,12.35,11.28,14.6,14.6,14.6,14.6,14.6,14.84,14.6,14.6,15.19,14.89,14.6,15.04,12.21,11.04,11.04,11.52,10.94,13.09,10.99
24,10.45,12.11,10.35,9.23,10.35,9.08,10.64,11.77,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,11.04,13.67,10.94,10.94,12.5,10.94,14.16
25,12.35,11.38,9.52,11.28,9.86,11.28,12.21,11.43,14.6,15.23,14.75,15.04,15.04,14.5,15.19,14.99,14.75,14.6,15.14,15.14,12.4,10.99,11.87,11.18,10.94,12.7,10.94
26,10.5,11.91,10.35,9.08,10.64,9.23,10.99,12.11,13.96,14.45,13.96,13.96,13.96,13.96,13.96,14.21,14.36,14.16,13.96,13.96,10.99,14.16,10.99,12.7,11.08,11.38,13.96
27,9.47,11.28,12.6,11.28,12.4,11.43,9.86,11.28,14.65,14.7,14.6,14.6,14.7,14.7,14.6,15.04,14.6,14.84,14.6,14.89,11.91,10.94,12.4,10.99,12.35,10.94,11.13
28,10.35,9.08,10.35,11.77,10.45,12.11,10.35,9.23,14.5,14.21,13.96,13.96,14.31,13.96,13.96,13.96,13.96,13.96,14.4,14.31,11.08,12.45,10.94,14.16,10.94,13.67,11.28
